Date,beta0,beta1,beta2,Taux directeur,IPC,europe_beta0,europe_beta1,europe_beta2
2022-10-01,3.6203541142571214,-1.5404909332620167,-0.8723998609707497,2.0,113.7,1.9964492372621636,-1.8432744380411368,0.0779680861138688
2022-11-01,3.9295618531032126,-1.6436012361642427,-1.3267454213722234,2.0,114.2,2.430722966426827,-1.6028345199018608,0.0254248881976247
2022-12-01,4.039362934036647,-1.4675865537929875,-1.0365627331798015,2.0,114.3,2.146230512489751,-1.2040074159281704,1.0210065275445634
2023-01-01,4.003964252139154,-1.0878026740692617,-1.3551786457309596,2.5,114.9,2.106819346801648,-0.9346949925562538,1.480422898579217
2023-02-01,5.292185192361355,-1.997089303324075,-1.152431489322093,2.5,116.8,2.202428879788952,-0.3800854547988094,1.607111497227718
2023-03-01,5.300671849839461,-2.069004029654852,-0.2990278608234291,2.5,116.9,2.378929146031225,-0.1808420594636521,1.6699094779418058
2023-04-01,5.810337456619253,-2.614465734609696,-0.5487278930611181,3.0,118.5,2.4080385331815823,0.1959862052982445,1.0943306472668968
2023-05-01,6.02731865034275,-2.832847689786677,-0.3397316805419633,3.0,118.0,2.609554310994144,0.4550902179870625,-1.1447670928134817
2023-06-01,6.095991611371574,-2.988833255603612,-0.390342299453245,3.0,116.9,2.733016024491699,0.5076311706776377,-1.8751460138997884
2023-07-01,6.066323406254281,-2.9679552291835063,-0.9032545007407649,3.0,117.3,2.666223945305071,0.8608354341268328,-1.765511851990491
2023-08-01,6.034269400351846,-2.9434127538304344,-1.7185435722914142,3.0,117.7,2.652082556042217,1.061527905036793,-1.616711447033668
2023-09-01,5.944832411032854,-2.86163349474288,-1.6830043154462448,3.0,118.7,2.862566367803559,0.8722064213677924,-2.004604144301548
2023-10-01,5.904245540450487,-2.809522620736613,-1.5683914804614882,3.0,118.6,3.0328743755418954,0.8296066838846121,-2.1582036164722207
2023-11-01,5.902563079718618,-2.898042163823977,-1.504051286791016,3.0,118.3,3.32360492403043,0.6764240193220352,-2.71311302863461
2023-12-01,5.950079987062414,-2.9657256294061347,-1.701724114908011,3.0,118.2,3.142604920662168,0.8779575673895036,-3.1310312849635564
2024-01-01,5.835007139865817,-2.812450492247226,-2.1592124296702857,3.0,117.5,2.6889428685134718,1.3639107744577137,-3.888140280917116
2024-02-01,5.599609831471721,-2.534006139411724,-2.609792750474901,3.0,117.2,2.779922416210788,1.4301506538108837,-4.134264427282756
2024-03-01,5.307185664125519,-2.1588941347102284,-2.109498131548042,3.0,118.0,2.8330063067515825,1.3008131336508455,-3.446417559665338
2024-04-01,5.258673504234904,-2.171082467242712,-2.0611555752715014,3.0,118.7,2.802870933485533,1.257644004639387,-3.166233588946278
2024-05-01,5.248768746954804,-2.1396969659505976,-2.037579336770692,3.0,118.5,2.8781494282457394,1.1082813709536956,-2.864253045464765
2024-06-01,5.18563791970964,-2.113078008684704,-1.854953989949708,3.0,119.0,2.907958718457323,0.980803886693259,-2.5187699075807464
2024-07-01,5.178733662731468,-2.0846426595532885,-1.943649296029154,2.75,118.8,2.953571836716903,0.7538584674850701,-2.578836496547925
2024-08-01,5.073673728905342,-2.3320477773330417,-1.840592516872862,2.75,119.7,3.0041609978528983,0.611825345395527,-2.8143281042645785
2024-09-01,5.086588054857496,-2.392562520070664,-1.99198511800534,2.75,119.7,2.753267593958625,0.8338464509897555,-3.266041174102102
2024-10-01,5.06899747721994,-2.350625573474699,-2.5440700829758693,2.75,119.4,2.751502014371879,0.8459032417752161,-3.736728267037939
2024-11-01,5.003697265889903,-2.22853131851139,-2.6269548464332653,2.75,119.2,2.84070693148734,0.4207697665279269,-3.4393538462083435
2024-12-01,4.852767344602002,-2.1449497776103224,-2.3495855336152114,2.75,119.0,2.7717774351460003,0.3213696274837958,-2.9617968049097017
2025-01-01,4.845679339471663,-2.191855459283761,-2.202978302560868,2.5,119.9,2.6362568208156514,0.2365904220025606,-2.791510318069955
2025-02-01,4.754998028760265,-2.2254063472332644,-2.1951849572285296,2.5,120.3,2.987582643320387,-0.2365123921993812,-2.427124004723369
2025-03-01,4.712874138323205,-2.149497748833383,-2.1348552051874408,2.5,119.9,2.929231209984358,-0.4631771888153519,-2.258328975030294
2025-04-01,4.675595477701942,-2.2003127841786903,-2.173254444756404,2.25,119.5,3.3937744130733494,-1.024564647933873,-2.5106066010405748
2025-05-01,4.477053567928874,-2.2040254714735883,-2.041236541806363,2.25,119.0,3.3124527995549697,-1.102850318725653,-3.2418385352392955
2025-06-01,4.528391870154675,-2.334050641020118,-2.5185811786006105,2.25,119.5,3.4074815351863963,-1.338442576591059,-3.0458511462743068
2025-07-01,4.322034992050072,-2.173660064733891,-2.0763498691036366,2.25,119.4,3.363758551755491,-1.4252722695299995,-2.5212632304867317
2025-08-01,4.429267050662455,-2.2408373023997634,-2.417904106964412,2.25,120.0,3.5333621876842822,-1.5952060595545152,-2.685510451841008
2025-09-01,4.389163017703845,-2.187349176217729,-2.4079698030012637,2.25,120.2,3.6746219859349054,-1.701326618631959,-2.669565176312381
2025-10-01,4.3172226025039935,-2.158601430818765,-2.1451702666995085,2.25,119.5,3.7591418830921737,-1.7568741504585286,-2.6280810919601043
2025-11-01,4.284621777506911,-2.054621235501856,-1.8373631223172688,2.25,118.8,3.641948617090193,-1.6654319246389475,-2.500176132047104
2025-12-01,4.29141007695615,-2.055888612168148,-1.5899928026734833,2.25,118.7,3.717488362980827,-1.7419458540558792,-2.396841919603304
2026-01-01,4.3556196691861135,-2.06998700464742,-1.5789727625753511,2.25,119.0,3.891462497958889,-1.903920719115177,-2.134853489768141
2026-02-01,4.317819484965731,-1.971406094739994,-1.2614022931209532,2.25,119.6,3.915276657598033,-1.9140572139617296,-2.271043110869967
2026-03-01,4.391343624106065,-2.0708515966551504,-1.361819196621347,2.25,121.0,3.914596058787588,-1.9019385191895584,-2.487187864529398
2026-04-01,4.3323405460746685,-2.0098176788398554,-0.8180619284693015,2.25,121.5,3.874069735853916,-1.7720110549931585,-1.142495754495947
2026-05-01,4.473485191820684,-2.2115945115804334,-0.9399718962328444,2.25,120.4,3.9374118038162704,-1.6865551493952746,-1.1301922826916408
