Date,beta0,beta1,beta2,Taux directeur,europe_beta0,europe_beta1,europe_beta2,Taux directeur_diff,beta0_diff,beta1_diff,beta2_diff,europe_beta0_diff,europe_beta1_diff,europe_beta2_diff
2020-11-01,3.711017055068476,-2.1646845251514995,-1.1547583096506226,1.5,0.1831583781544997,-0.806884129186235,-1.737345167050462,0.0,-0.024101557561881926,-0.01936330859420643,0.16521314308419144,-0.11943719609388481,0.038707110725297644,0.1398884779171603
2020-12-01,3.81517474810988,-2.175448498889373,-1.24861221848831,1.5,0.1625253932821235,-0.8183766562592061,-1.6232093324536656,0.0,0.1041576930414041,-0.010763973737873744,-0.0938539088376873,-0.020632984872376192,-0.011492527072971104,0.11413583459679644
2021-01-01,3.77080054362782,-2.143498365576978,-1.0785074317029983,1.5,0.166325522790884,-0.877835072061139,-1.4471501834615286,0.0,-0.04437420448206009,0.031950133312395046,0.1701047867853116,0.0038001295087604914,-0.059458415801932896,0.17605914899213704
2021-02-01,3.867216739793382,-2.388134202020018,-1.529155692470335,1.5,0.2083048056444464,-0.7976141149874187,-1.7573913101234713,0.0,0.09641619616556207,-0.24463583644303988,-0.45064826076733655,0.041979282853562394,0.08022095707372023,-0.3102411266619427
2021-03-01,3.8096693119840936,-2.373929534248381,-1.6115568025051696,1.5,0.4585912814684351,-1.0359196494420282,-1.969851345771931,0.0,-0.057547427809288454,0.01420466777163698,-0.08240111003483475,0.25028647582398866,-0.23830553445460945,-0.21246003564845983
2021-04-01,3.7135535636015424,-2.2997154161654465,-1.364405379353178,1.5,0.6091267815383387,-1.1717753883765725,-2.224877176445612,0.0,-0.09611574838255121,0.07421411808293454,0.24715142315199157,0.15053550006990357,-0.13585573893454428,-0.255025830673681
2021-05-01,3.680686660622549,-2.257455583991816,-1.2282107965849656,1.5,0.655338194319461,-1.2303327095009728,-2.287953818687616,0.0,-0.03286690297899364,0.042259832173630496,0.1361945827682125,0.046211412781122396,-0.058557321124400374,-0.06307664224200371
2021-06-01,3.704114559610861,-2.274775751438442,-1.3503119727916464,1.5,0.7868769151859888,-1.3623339470196436,-2.3269458226708712,0.0,0.0234278989883121,-0.017320167446626122,-0.12210117620668082,0.13153872086652774,-0.13200123751867077,-0.03899200398325542
2021-07-01,3.674189725976363,-2.2389988269920966,-1.2913324641391093,1.5,0.6861097051697493,-1.2745975770067766,-2.22684878666833,0.0,-0.029924833634497716,0.035776924446345504,0.058979508652537094,-0.10076721001623945,0.08773637001286705,0.10009703600254127
2021-08-01,3.637804748793517,-2.181615209720572,-1.2093829026996632,1.5,0.5167090953270871,-1.1238757155090071,-2.1062734944378603,0.0,-0.03638497718284617,0.057383617271524745,0.0819495614394461,-0.16940060984266225,0.15072186149776945,0.1205752922304697
2021-09-01,3.596810167175873,-2.1350164413878194,-1.0863657731456886,1.5,0.3284048521539938,-0.9319534669422826,-2.0846481587814965,0.0,-0.0409945816176438,0.04659876833275245,0.12301712955397459,-0.1883042431730933,0.19192224856672446,0.02162533565636382
