Date,beta0_ecb,beta1_ecb,beta2_ecb
2017-12-04,1.5699871424561362,-2.2131284480805675,-3.7262719083352724
2017-12-05,1.569459116300649,-2.2202366702033554,-3.747907415350114
2017-12-06,1.5250511532656712,-2.1666656607972747,-3.7840751632367273
2017-12-07,1.5450646962437986,-2.20994645077615,-3.8035603952339017
2017-12-08,1.5625445937180245,-2.229139900156276,-3.8149033658935165
2017-12-11,1.5248114859461148,-2.2088581354959302,-3.6730972244000015
2017-12-12,1.5438251350832883,-2.2366232285516303,-3.6563922334934014
2017-12-13,1.5624575285762459,-2.251713309614757,-3.7021097095692213
2017-12-14,1.559786236705603,-2.283583010256581,-3.5689462103185168
2017-12-15,1.5031048730770704,-2.228489528000679,-3.4840497853622447
2017-12-18,1.4837461393281532,-2.2203278310708536,-3.3732336231471964
2017-12-19,1.5748704048137951,-2.3377978945105604,-3.40136672777754
2017-12-20,1.6336847803093062,-2.3898956618901335,-3.4006259605860762
2017-12-21,1.641442475326751,-2.3744687713521366,-3.3739877816513406
2017-12-22,1.6113089779836136,-2.3264796914919783,-3.337395327497909
2017-12-27,1.6041900707046621,-2.3242563413180752,-3.393224594023971
2017-12-28,1.61354488415117,-2.2434574944583585,-3.4224018611893094
2017-12-29,1.6537050629573218,-2.313971000955084,-3.424797293765666
2018-01-02,1.6915762652747968,-2.3068526334114834,-3.538369277192531
2018-01-03,1.6718282152038015,-2.2317206181276177,-3.6225169877898935
2018-01-04,1.664619925354808,-2.206196249253894,-3.5693663951968855
2018-01-05,1.664800441382739,-2.1939760366406302,-3.6197518273004405
2018-01-08,1.6582368034864963,-2.1681285383980087,-3.695781986603318
2018-01-09,1.6818251944121028,-2.214803172911906,-3.656746838876476
2018-01-10,1.7515069269495305,-2.2529799483442376,-3.79617844371066
2018-01-12,1.7119889165873563,-2.2482477867489004,-3.3766264529190217
2018-01-15,1.7296894052670684,-2.267594197251195,-3.4765840525733678
2018-01-16,1.6786641537470801,-2.206994521024449,-3.407022579856108
2018-01-17,1.6670275702306068,-2.2064587295031224,-3.3466339345860345
2018-01-18,1.714985566786471,-2.2502322684477876,-3.4293294511413825
2018-01-19,1.7320277102969397,-2.2674425490567005,-3.486229103230881
2018-01-22,1.7425316901182335,-2.2645473075740714,-3.540395701392226
2018-01-23,1.7037842022060812,-2.2149215367508526,-3.4913198570827966
2018-01-24,1.7407407006236009,-2.2663051112969352,-3.4789526291568413
2018-01-25,1.7003085850213422,-2.260385007874972,-3.1288242418164014
2018-01-26,1.6668135223192264,-2.2344352642269443,-3.0208538396831277
2018-01-29,1.7130088887157615,-2.2909511750632334,-2.9057238637769225
2018-01-30,1.7603300792877261,-2.3549242817767633,-3.0138739816085534
2018-01-31,1.700737561340053,-2.3041653263026607,-2.9000099701388136
2018-02-01,1.7597363693872352,-2.372581872015612,-2.9633665879736144
2018-02-02,1.800578361483845,-2.4294979454695875,-2.918716063552642
2018-02-05,1.8135248445732455,-2.4346358572543245,-3.069432565658153
2018-02-06,1.7912369891233806,-2.4005767608225668,-3.0904512081340254
2018-02-07,1.7852147471649908,-2.406748452806108,-3.0175480191408655
2018-02-08,1.86337795451307,-2.488350947359311,-2.9666170195416486
2018-02-09,1.8225130928742195,-2.4563892760166413,-3.007884558118315
2018-02-12,1.8455033711224778,-2.471229112239583,-3.098616826599398
2018-02-13,1.8613217124040153,-2.4788328425002204,-3.188229630428417
2018-02-14,1.875848125965972,-2.4867620031994924,-3.156739767209968
2018-02-15,1.8827104912873276,-2.4823142122683595,-3.1622471634427507
2018-02-16,1.8328307395776244,-2.4289203533650627,-3.19143444591203
2018-02-19,1.8669215335951563,-2.483760651934075,-3.1605336159287356
2018-02-20,1.857936328831073,-2.4623174443458202,-3.2128635522496483
2018-02-21,1.8383054688382463,-2.4434690984740484,-3.1703423614223976
2018-02-22,1.8310503300011807,-2.4461794765488314,-3.1667483273578987
2018-02-23,1.7696841529201117,-2.3670066797024005,-3.179752763987195
2018-02-26,1.7370157513213909,-2.351963107023794,-3.095800840147839
2018-02-27,1.750587980316371,-2.398491732310428,-3.0130069350794675
2018-02-28,1.7558834456903945,-2.3789491034428143,-3.1185044571373832
2018-03-01,1.7312572445654673,-2.343968229614418,-3.145090662343289
2018-03-02,1.7178273036645793,-2.3434034440952702,-3.114347432495992
2018-03-05,1.7292844628484296,-2.3694524568093227,-3.106150176482217
2018-03-06,1.767155279177432,-2.4333180432414347,-3.0129857923550176
2018-03-07,1.7422907718570635,-2.381385859941249,-3.0173034140635866
2018-03-08,1.7179610327568653,-2.3608922769637437,-2.9898675078507586
2018-03-09,1.7252075645293272,-2.377827067458224,-2.9977753283002286
2018-03-12,1.714866841703653,-2.3507983987285734,-3.069921586652798
2018-03-13,1.7234314639266444,-2.3716277565491346,-3.0799049317492093
2018-03-14,1.7016727163419514,-2.3405798463524063,-3.073502837441264
2018-03-15,1.6457185200889728,-2.2853102758156307,-3.026881014748731
2018-03-16,1.6554822786669006,-2.300299417358586,-3.031222269711262
2018-03-19,1.6451262057388598,-2.2823513524679697,-3.0042713157911574
2018-03-20,1.6560983470881505,-2.2664367720555005,-3.071764665857071
2018-03-21,1.6610178119240955,-2.2955175792646165,-3.018136964210795
2018-03-22,1.5805709213145653,-2.217011388080711,-3.033264427941648
2018-03-23,1.5933809204436025,-2.241968539608499,-2.9969355163489477
2018-03-26,1.5848800155070146,-2.219649358810885,-2.999649209725703
2018-03-27,1.569417897834302,-2.2027265021229594,-3.0341133939453484
2018-03-28,1.5572842696096005,-2.180468913604401,-3.0492147751360035
2018-03-29,1.5702365102655549,-2.1805548293005708,-3.118639583561278
2018-04-03,1.5657051611999224,-2.1644934167330323,-3.099220309880863
2018-04-04,1.563839609022303,-2.164860918843916,-3.106564293605011
2018-04-05,1.5972386148020281,-2.1910322112232405,-3.1243239047101574
2018-04-06,1.584101645891399,-2.181878408236226,-3.113783257194431
2018-04-09,1.5816832793166071,-2.171828318323328,-3.1038762378045726
2018-04-10,1.5625717822552523,-2.1547196138714964,-3.010448230859536
2018-04-11,1.546326151418679,-2.1410526746575713,-2.9960691453429606
2018-04-12,1.5829453423027964,-2.1859676310444836,-3.057352633203056
2018-04-13,1.6038051488870764,-2.202674203019152,-3.1055263108469306
2018-04-16,1.6027247273365348,-2.199910117510885,-3.1045036946291633
2018-04-17,1.5958705079153286,-2.177608645303277,-3.139691255623451
2018-04-18,1.5833469094074624,-2.163965409746004,-3.0817885483880874
2018-04-19,1.6468131523760305,-2.2411380213393257,-3.0273067038747823
2018-04-20,1.6882493375801064,-2.2800271973787876,-3.0931431767977258
2018-04-23,1.70838113062234,-2.3014718052433674,-3.083081115288116
2018-04-24,1.7346000176005192,-2.3278020911185657,-3.101708844532823
2018-04-25,1.7245808944444194,-2.3149049680010956,-3.098992952912661
2018-04-26,1.6890018468106476,-2.295326337844641,-3.0262399436427763
2018-04-27,1.6442379107472234,-2.237381066665797,-3.0869236145887937
2018-04-30,1.6657231642436767,-2.236831456844725,-3.168659740744053
2018-05-02,1.670061138995494,-2.2616983693720805,-3.136542641573977
2018-05-03,1.6539003388812161,-2.2187486540744548,-3.219741028565522
2018-05-04,1.6413509702900462,-2.188901555466683,-3.21430852747932
2018-05-07,1.6206528667249656,-2.1707276853547333,-3.2029213251405455
2018-05-08,1.6543484260350692,-2.2047925726770963,-3.21987165840035
2018-05-09,1.6792013049083991,-2.228740245859028,-3.2326672982110582
2018-05-10,1.643302083783754,-2.2071538375543245,-3.20464503613468
2018-05-11,1.6544225907819778,-2.214981021643386,-3.1653322935480728
2018-05-14,1.6989928792275573,-2.266661477554961,-3.1109456747682818
2018-05-15,1.7340455214787083,-2.3029244839581957,-3.1132276562931236
2018-05-16,1.713302223573567,-2.2703683819654237,-3.1937989374042255
2018-05-17,1.7345271467233627,-2.308241383684787,-3.189933480183864
2018-05-18,1.7437623075391027,-2.292287595328757,-3.2814508905499595
2018-05-21,1.6986696472492928,-2.2419978914555942,-3.366279197957766
2018-05-22,1.676566142663765,-2.2268180262532162,-3.288845993691828
2018-05-23,1.6578996249648592,-2.1884881865062535,-3.4003134959608277
2018-05-24,1.6035471519823497,-2.1150859832706588,-3.4137654218250932
2018-05-25,1.5441839194491178,-2.053376471830112,-3.5028230525671797
2018-05-28,1.511792925537147,-2.031203802219258,-3.57856580745099
2018-05-29,1.5033454235085528,-2.005661899915707,-3.6695798652227176
2018-05-30,1.4912024275649398,-2.0021474902357475,-3.640967026894668
2018-05-31,1.44680200110268,-1.9763075868973257,-3.450079233923473
2018-06-01,1.4860672523336746,-1.995427217835132,-3.3368016691235227
2018-06-04,1.5048105460692718,-2.0186352384712714,-3.3247183113961016
2018-06-05,1.5038474633232075,-2.0172768242108683,-3.4272749093709245
2018-06-06,1.5640937252301361,-2.0892833558948065,-3.3174575669936126
2018-06-07,1.6037670312570766,-2.1568446634212366,-3.268261398550775
2018-06-08,1.57227564707058,-2.1275602093901362,-3.3690043671701035
2018-06-11,1.6251397849199885,-2.182332451168144,-3.3123164283833484
2018-06-12,1.622805074938494,-2.160678556867685,-3.307397434317061
2018-06-13,1.5780074038159684,-2.117041695204295,-3.2773672669196205
2018-06-14,1.6058029660874336,-2.127417473334403,-3.4886010985204017
2018-06-18,1.5937149131993131,-2.1020424432954865,-3.638431283206139
2018-06-19,1.549026240731734,-2.0535447172647254,-3.640860504712254
2018-06-20,1.5780415400067422,-2.082488800833443,-3.6816155835473667
2018-06-21,1.5515580471268007,-2.0418693461638067,-3.761909203840619
2018-06-22,1.5508023766680374,-2.0450826221963925,-3.7743579422431712
2018-06-25,1.5301223768723846,-2.051118754064796,-3.6782149656068177
2018-06-26,1.5349224704565994,-2.06607136051645,-3.6620734697780994
2018-06-27,1.4952033722834563,-2.027977226415533,-3.5777054815363467
2018-06-28,1.4615070550769043,-1.9803361788383689,-3.57133263243021
2018-06-29,1.4194885697849224,-1.9353106137126628,-3.44543120789197
2018-07-02,1.4162113358902642,-1.937507738114972,-3.4710552916966053
2018-07-03,1.390218213679768,-1.9120607729571644,-3.3802184008443072
2018-07-04,1.3852439213376229,-1.9213015059362992,-3.3277802682518143
2018-07-05,1.3841398365928865,-1.9240768166106865,-3.2896391726001513
2018-07-06,1.3831691283562564,-1.9102934512787972,-3.3511219454588863
2018-07-09,1.434692941422339,-1.9362258506116943,-3.43887332929956
2018-07-10,1.4260453326809863,-1.9437295715323684,-3.3749624983718824
2018-07-11,1.399379240991982,-1.9037815441220078,-3.3335308298369615
2018-07-12,1.3887964365894336,-1.907744354035064,-3.3313267400833193
2018-07-13,1.3789952619149326,-1.8846183129632377,-3.384664439676199
2018-07-16,1.4062077713459022,-1.9197927101250505,-3.3490989907415902
2018-07-17,1.3826877391267631,-1.9089635479921485,-3.3078940407217994
2018-07-18,1.3721394281645016,-1.8812198865912837,-3.337401500372748
2018-07-19,1.3708016539579344,-1.8959723314902015,-3.318384812526965
2018-07-20,1.3919140093826983,-1.9226386790153862,-3.2874209458014216
2018-07-23,1.4386725623040402,-1.9672903056191684,-3.2943839615369055
2018-07-24,1.4404585553256712,-1.967982879077704,-3.2745222661433164
