Date,beta0,beta1,beta2
2009-07-06,4.6845939863234065,-1.3719394642204132,-1.7518331905772557
2009-07-07,4.6843288527039055,-1.3737783947086275,-1.745565421416822
2009-07-08,4.684069330735225,-1.3762280283070205,-1.7423817782513797
2009-07-09,4.684377616478303,-1.3780181494771495,-1.7447157062019627
2009-07-10,4.684582692366786,-1.3800478406894514,-1.7450239168832262
2009-07-13,4.6840550721040755,-1.3815827239452076,-1.742918026011832
2009-07-14,4.682557680947729,-1.3805578359058168,-1.7073962446228887
2009-07-15,4.6805605818413305,-1.379831753394896,-1.6882092630572547
2009-07-16,4.678254313835595,-1.3827283484948767,-1.6899856711513186
2009-07-17,4.677405817975716,-1.383695388318868,-1.693591175011581
2009-07-20,4.678980093284781,-1.3850026327535914,-1.6955983871027156
2009-07-21,4.679765798045839,-1.3859652825869886,-1.7030729942817713
2009-07-22,4.679230655859746,-1.386524091012555,-1.690731050683298
2009-07-23,4.679012154362175,-1.3876546433156702,-1.6945109584209685
2009-07-24,4.679006272500814,-1.3886028633285976,-1.695365007981859
2009-07-27,4.677428574636065,-1.388495280998326,-1.6911920416745125
2009-07-28,4.679558056578772,-1.390055157829596,-1.6863679311671227
2009-07-29,4.681056213376055,-1.3915300609489858,-1.6862567665799406
2009-07-31,4.6819054037627055,-1.3938391052542078,-1.6876054753319534
2009-08-03,4.6835405694290095,-1.394421794119776,-1.6940631043047572
2009-08-04,4.685662698994317,-1.3941873853802003,-1.6963428017006024
2009-08-05,4.687529102776468,-1.395083652522226,-1.7112649744637813
2009-08-06,4.689136470812333,-1.3954955262904634,-1.7549098733695472
2009-08-07,4.691373988584604,-1.3956396485862979,-1.7785539087455515
2009-08-10,4.693651783113869,-1.3956419153630817,-1.8068289681550387
2009-08-11,4.696171486670766,-1.3955395186335564,-1.8068456841953675
2009-08-12,4.697556510688798,-1.3968530839614477,-1.8091103326273499
2009-08-13,4.6986920246272526,-1.3980454352993819,-1.8118204601953192
2009-08-17,4.701477127684214,-1.397949185425106,-1.7541685658726254
2009-08-18,4.696466886869862,-1.397996060707355,-1.7897858929535015
2009-08-19,4.706362150379418,-1.4053652756886172,-1.7729792060333507
2009-08-24,4.7135735965781524,-1.412349288709464,-1.7774337026285865
2009-08-25,4.7190218474841945,-1.418863627014881,-1.6927925581776477
2009-08-26,4.721779322155855,-1.4241940403698385,-1.6591135064364735
2009-08-27,4.7229793103366875,-1.4290822745760248,-1.6443111866696625
2009-08-28,4.723978398259756,-1.4328824739222608,-1.7090969960737543
2009-08-31,4.726470099224191,-1.435266768271366,-1.7375023717322826
2009-09-01,4.729970081207089,-1.4373592204831704,-1.73385842084449
2009-09-02,4.731697439328895,-1.4390496782508537,-1.7201878906424979
2009-09-03,4.733829427178785,-1.4438877050708225,-1.7802246385136211
2009-09-04,4.737342726783876,-1.4482130456362794,-1.817098160254872
2009-09-07,4.741023121236432,-1.4518953959628422,-1.8385338331658767
2009-09-08,4.744420075417606,-1.4551285154278917,-1.8531100580456457
2009-09-09,4.7477730942962175,-1.4555396572422812,-1.846009847153282
2009-09-10,4.750067284409415,-1.4561009529239504,-1.847968379402791
2009-09-11,4.752142105026928,-1.4560491247861698,-1.854012329637291
2009-09-14,4.753240358589581,-1.457227161352565,-1.846176239820621
2009-09-15,4.75388770284948,-1.4583021845365916,-1.842460971394566
2009-09-16,4.753865151991549,-1.4596406295204918,-1.8097644173940737
2009-09-17,4.75084480242051,-1.46213654064526,-1.8367189867108111
2009-09-18,4.748472329368032,-1.4636661612079767,-1.7968729626551678
2009-09-23,4.7454906684509535,-1.466047741570606,-1.7712998302548653
2009-09-24,4.743765570679749,-1.4682870499979437,-1.7847373151867905
2009-09-25,4.742816692997321,-1.4706040012634012,-1.7861574332078578
2009-09-28,4.741813519249241,-1.4720821274743845,-1.814112458849893
2009-09-29,4.741911742299671,-1.4725749634760348,-1.823833910219466
2009-09-30,4.742119369735723,-1.4723840818741303,-1.801843344011244
2009-10-01,4.74173373940135,-1.472373460419732,-1.7916283268444135
2009-10-02,4.741527317242744,-1.4727065204996748,-1.7970128988882301
2009-10-05,4.741524358878233,-1.4729509277380732,-1.7990978921668321
2009-10-06,4.741465036499891,-1.4740461927375144,-1.7724388755884342
2009-10-07,4.740331013474432,-1.4739856456748965,-1.7433763113721465
